"dbn","district","school","_2010_2011_overall_grade","_2010_2011_overall_score","_2010_2011_progress_category_score","_2010_2011_progress_grade","school_level"
"07X527","7","Bronx Leadership Academy II High School","B","58.3","35.1","B","High School"
"07X547","7","New Explorers High School","B","62.8","36.8","B","High School"
"07X548","7","Urban Assembly School for Careers in Sports","A","72.1","36.4","B","High School"
"07X551","7","Bronx Academy of Letters","C","34.3","17.1","C","Middle"
"07X551","7","Bronx Academy of Letters","A","74.9","38.4","B","High School"
"07X600","7","Alfred E. Smith Career and Technical Education High School","C","49.6","30.7","C","High School"
"07X655","7","Samuel Gompers Career and Technical Education High School","F","33.5","17.5","F","High School"
"07X670","7","Health Opportunities High School","B","58.8","33.1","C","High School"
"08X014","8","P.S. X014 Senator John Calandra","D","21.1","8.1","F","Elementary"
"08X036","8","P.S. 036 Unionport","B","41.1","21.1","C","Elementary"
"08X048","8","P.S. 048 Joseph R. Drake","A","57.3","39.0","A","Elementary"
"08X062","8","P.S. 062 Inocensio Casanova","A","61.0","42.7","A","Elementary"
"08X069","8","P.S. 069 The New Vision School","A","73.6","41.4","A","Elementary"
"08X071","8","P.S. 071 Rose E. Scala","C","39.6","23.0","C","K-8"
"08X072","8","P.S. 072 Dr. William Dorney","C","29.5","21.1","C","Elementary"
"08X075","8","P.S. 075","A","56.9","37.0","A","Elementary"
"08X093","8","P.S. 093 Albert G. Oliver","A","59.5","37.8","A","Elementary"
"08X100","8","P.S. 100 Isaac Clason","B","46.2","28.6","B","Elementary"
"08X101","8","M.S. X101 Edward R. Byrne","B","43.8","23.7","C","Middle"
"08X107","8","P.S. 107","C","30.9","26.5","B","Elementary"
"08X119","8","P.S. 119","B","47.5","31.6","B","Elementary"
"08X123","8","J.H.S. 123 James M. Kieran","B","50.8","33.1","B","Middle"
"08X125","8","J.H.S. 125 Henry Hudson","C","28.6","16.9","C","Middle"
"08X130","8","P.S. 130 Abram Stevens Hewitt","C","35.0","21.2","C","Elementary"
"08X131","8","J.H.S. 131 Albert Einstein","C","31.0","19.9","C","Middle"
"08X138","8","P.S. 138 Samuel Randall","C","38.9","22.4","C","Elementary"
"08X140","8","P.S. X140 The Eagle School","C","36.2","23.9","C","Elementary"
"08X146","8","P.S. 146 Edward Collins","B","41.5","23.6","C","Elementary"
"08X182","8","P.S. 182","B","42.5","23.7","C","Elementary"
"08X269","8","Bronx Studio School for Writers and Artists","C","35.8","20.2","C","Middle"
